"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"A MODO MIO PIZZERIA","TAKE AWAY / PIZZ. ASPORTO","DOM","CORSO ITALIA, 5",39100,"BOLZANO","BZ",46.5012599837507,11.3402499683855
"ABC RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MER","VIA DELLE CORSE, 25",39012,"MERANO","BZ",46.67164999371,11.1587700299727
"ABRAM BAR RISTORANTE","RISTORANTE / PIZZERIA","MAR","VIA NAZIONALE, 17",39040,"ORA","BZ",46.3461799809459,11.2952200375941
"ACQUAFUN","RISTORANTE / PIZZERIA","XXX","VIA MICHAEL HYRONIMUS HUEBER, 2",39038,"SAN CANDIDO","BZ",46.7329199876324,12.2858999726762
"ADI BY OSSI BAR PIZZERIA","RISTORANTE / PIZZERIA","XXX","V. SCENA, 27",39017,"SCHENNA","BZ",46.6846799974724,11.1895199637811
"ADIGE BAR","BAR TAVOLA FREDDA","MAI","VIA JOSEF SPECKBACHER, 12",39012,"MERANO","BZ",46.6702399899579,11.1510699946205
"ADLER RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MER","VIA PRINCIPALE, 5",39050,"NOVA PONENTE","BZ",46.4136200195242,11.4274700411723
"AGIP BAR","BAR TAVOLA FREDDA","DOM","VIA ROMA, 96",39100,"BOLZANO","BZ",46.4876199869847,11.3430399686764
"AGORA BISTRO' BAR","BAR TAVOLA CALDA","MAI","VIA DI MEZZO AI PIANI, 7",39100,"BOLZANO","BZ",46.495360004015,11.3704399910618
"AL BRAT DA CIANO BAR","BAR TAVOLA FREDDA","MAI","VIA ANTONIO PACINOTTI, 14",39100,"BOLZANO","BZ",46.481839994193,11.3299600087711
"AL CANTUCCIO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","VIA DELLA VISITAZIONE, 4",39100,"BOLZANO","BZ",46.4969800163512,11.3379700069027
"AL CAVALIERE RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA ANDREAS HOFER, 24",39100,"BOLZANO","BZ",46.5012700001249,11.3576499611873
"AL CERVO ALBERGO RISTORANTE","TRATTORIA","MAI","PIAZZA SANTA GELTRUDE, 9",39040,"MAGRE' SULLA STRADA DEL VINO","BZ",46.2872699956816,11.2098900001542
"AL CERVO RISTORANTE","RISTORANTE","MAI","PIAZZA SANTA GELTRUDE, 5",39040,"MAGRE' SULLA STRADA DEL VINO","BZ",46.2874999951047,11.2099699635105
"AL CERVO RISTORANTE","RISTORANTE / PIZZERIA","MAI","LOCALITA' SCHRANN, 9/C",39050,"SAN GENESIO ATESINO","BZ",46.535019984718,11.3319399819393
"AL CERVO TRATTORIA PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA VURZA, 2",39055,"LAIVES","BZ",46.4425499906962,11.3369800203186
"AL FUSO ORARIO RISTORANTE","RISTORANTE","DOM","C.SO ITALIA, 67/69",39100,"BOLZANO","BZ",46.4951300045918,11.3403900299875
"AL PAPERO GIALLO TAKE AWAY","RISTORANTE / PIZZERIA","MAI","VIA MILANO, 37",39100,"BOLZANO","BZ",46.4897100145415,11.335119992185
